,house_name,lat_lon,shopping center
0,Siu On Court&兆安苑,"22.3892555,113.9763184",2.093830720004618e-06
1,Siu Man Court&兆文樓,"22.2897701,114.1962128",9.462306650011248e-06
2,Siu Yee Building&兆宜大廈,"22.2864609,114.13309479999998",6.540963400032717e-07
3,Siu Yat Building&兆日大樓,"22.3812122,114.2735748",2.7647490500011615e-06
4,Siu Bo Building&兆寶大廈,"22.2911625,114.2042465",1.4090888499928423e-06
5,Shiu Yat Building&兆日樓,"22.4469452,114.0231781",4.742254250014286e-06
6,Billion Court&兆寶閣,"22.3066235,114.1866455",7.354203399949173e-07
7,Siu Shan Court&兆山苑,"22.3778076,113.9633408",9.66180175999908e-06
8,Siu Nin Building&兆年大廈,"22.2906342,114.20158390000002",8.942663299780427e-07
9,Siu Hong Court&兆康苑,"22.4121838,113.977066",3.6795293200095703e-06
10,Siu Hei Court&兆禧苑,"22.3744297,113.9670181",1.2245393000115698e-06
11,Siu Kwan Mansion&兆群大廈,"22.2488823,114.1561508",3.2645299987378073e-09
12,Siu Pong Court&兆邦苑,"22.4069691,113.9666138",2.9947864999915443e-06
13,Siu Wah Building&兆華大廈,"22.2911263,114.2039185",7.41941170001719e-07
14,Siu Lung Court&兆隆苑,"22.4080029,113.9644699",3.822956929989144e-06
15,Shui Fung Building&兆豐大廈,"22.3115559,114.1700134",1.4247402169993797e-05
16,Siu Fung Building&兆豐大廈,"22.2782516,114.1799545",1.9946049999971008e-07
17,Siu Fung Building&兆豐樓,"22.4431782,114.0261765",1.0908487999930662e-06
18,Siu Fung Court&兆豐閣,"22.3228893,114.1888275",1.2922829199993368e-06
19,Siu Cheong Building&兆昌大廈,"22.3277264,114.1623077",1.5564538399994864e-05
20,Siu Yip House&兆業大廈,"22.3230629,114.1701813",1.4087024999820972e-06
21,Siu King Building&兆景大廈,"22.2905636,114.2011337",1.8406710100061813e-06
22,Siu Kwai Court&兆畦苑,"22.4051628,113.9665298",8.79806461000324e-06
23,Siu King Building&兆景樓,"22.4422283,114.0295868",2.3728899999752836e-07
24,Siu Cheung Building&兆祥大廈,"22.2873802,114.1396866",1.0211457599813105e-06
