,house_name,lat_lon,school
0,Siu On Court&兆安苑,"22.3892555,113.9763184",0.1078
1,Siu Man Court&兆文樓,"22.2897701,114.1962128",0.1253
2,Siu Yee Building&兆宜大廈,"22.2864609,114.13309479999998",0.2251
3,Siu Yat Building&兆日大樓,"22.3812122,114.2735748",0.2193
4,Siu Bo Building&兆寶大廈,"22.2911625,114.2042465",0.0769
5,Shiu Yat Building&兆日樓,"22.4469452,114.0231781",0.154
6,Billion Court&兆寶閣,"22.3066235,114.1866455",0.1648
7,Siu Shan Court&兆山苑,"22.3778076,113.9633408",0.0559
8,Siu Nin Building&兆年大廈,"22.2906342,114.20158390000002",0.0739
9,Siu Hong Court&兆康苑,"22.4121838,113.977066",0.2837
10,Siu Hei Court&兆禧苑,"22.3744297,113.9670181",0.0708
11,Siu Kwan Mansion&兆群大廈,"22.2488823,114.1561508",0.026
12,Siu Pong Court&兆邦苑,"22.4069691,113.9666138",0.082
13,Siu Wah Building&兆華大廈,"22.2911263,114.2039185",0.0972
14,Siu Lung Court&兆隆苑,"22.4080029,113.9644699",0.1479
15,Shui Fung Building&兆豐大廈,"22.3115559,114.1700134",0.0296
16,Siu Fung Building&兆豐大廈,"22.2782516,114.1799545",0.0416
17,Siu Fung Building&兆豐樓,"22.4431782,114.0261765",0.0915
18,Siu Fung Court&兆豐閣,"22.3228893,114.1888275",0.1579
19,Siu Cheong Building&兆昌大廈,"22.3277264,114.1623077",0.2092
20,Siu Yip House&兆業大廈,"22.3230629,114.1701813",0.1475
21,Siu King Building&兆景大廈,"22.2905636,114.2011337",0.1072
22,Siu Kwai Court&兆畦苑,"22.4051628,113.9665298",0.0533
23,Siu King Building&兆景樓,"22.4422283,114.0295868",0.0731
24,Siu Cheung Building&兆祥大廈,"22.2873802,114.1396866",0.212
25,Shiu King Court&兆景閣,"22.2801361,114.154686",0.0447
26,Sliver Mansion&兆暉大廈,"22.2493706,114.1487427",0.3591
27,Sunrise Court&兆暉閣,"22.2757587,114.1935654",0.0576
28,Siu Lun Court&兆麟苑,"22.384346,113.9773331",0.0552
29,Kwong Sen Mansion&光星大廈,"22.3156567,114.2249527",0.1161
30,Sincere House&先施大廈,"22.3198509,114.170639",0.2129
31,Kwong Wing Building&光榮大樓,"22.3164272,114.1676025",0.1593
32,Sincere Western House&先施西環大廈,"22.281360600000006,114.1265182",0.0361
33,Kwong Yiu Building&光耀大廈,"22.3170204,114.1873398",0.1649
34,Kong Chian Tower&光前大廈,"22.2870579,114.136528",0.1914
35,Kwong Ming Building&光明大廈,"22.3722591,114.1114655",0.1508
36,Illumination Terrace&光明臺,"22.2773991,114.1935272",0.0387
37,Brilliant Court&光明閣,"22.3076344,114.1856995",0.0437
38,Kwong Wah Centre&光華中心,"22.444006,114.0298004",0.0754
39,Kwong Fai Building&光輝大廈,"22.3675365,114.1327209",0.315
40,Kwong Wah Building&光華大廈,"22.2782402,114.1769791",0.0629
41,Kwong Yue Mansion&光裕大廈,"22.3077793,114.168808",0.0714
42,入建花園&入建花園,"22.4321747,114.0243988",0.7584
43,Glory House&光裕樓,"22.2773552,114.1738739",0.0898
44,Kwong Yue Building&光裕樓,"22.4484119,114.1658783",0.1408
45,Kwong Chiu Terrace&光超台,"22.2889595,114.1948318",0.1047
46,Kwong Fai Court&光輝園,"22.341665300000006,114.1828308",0.2377
47,Pat Chun Mansion&八珍樓,"22.3206253,114.1688995",0.0314
48,Garden Building&公園大廈,"22.3035622,114.1683197",0.1719
49,Eightland Gardens&八號花園,"22.4523392,114.1671143",0.0779
50,Kung On Mansion&公安樓,"22.2863159,114.1926804",0.0347
51,Federate Building&八達大廈,"22.2867565,114.1421204",0.183
52,Duchy Heights&公爵閣,"22.3263073,114.1760025",0.1
53,Pak Tak Building&八達大廈,"22.279277800000006,114.1853409",0.1506
54,Princess Terrace&公主台,"22.3195686,114.1783752",0.0345
55,Princess Mansion&公主大廈,"22.288866,114.1936569",0.1826
56,Kung Lee Building&公利大廈,"22.291069,114.19764709999998",0.0779
57,Leung Chau Building&兩洲大廈,"22.3330956,114.1625366",0.0498
58,全球麗庭&全球麗庭,"22.3964272,114.10949709999998",1.926
59,Paris Park Villa&八佰花園,"22.2787724,114.1596756",0.2585
60,Parkview Building&八景樓,"22.3209572,114.1880798",0.1067
61,Chuen Fat Building&全發大廈,"22.3098469,114.1838989",0.2246
62,Chuen Fung Building&全豐樓,"22.2771072,114.1758652",0.0419
63,Chuen Fai Centre&全輝中心,"22.3801632,114.1974182",0.102
64,Grand Garden&全麗花園,"22.5028172,114.1295471",0.1458
65,Royal Villa&六也別墅,"22.2748299,114.1861801",0.1222
66,Champion Court&冠天閣,"22.314127,114.2233276",0.1302
67,The Scenicwoods&六本木,"22.4319229,114.0759506",0.7219
68,Koon Kai Mansion&冠奇大廈,"22.3327084,114.1615372",0.0988
69,Luckifast Building&其發大廈,"22.2761726,114.1735001",0.1919
70,Alpine Garden&冠峰園,"22.386385,113.9815598",0.1305
